ID,Project Name,Repository URL,Latest Release Publish Timestamp
30728,addict,https://github.com/trenpixster/addict,2016-07-19 18:48:43 UTC
31751,addict,https://github.com/mewwts/addict,2019-04-28 08:19:54 UTC
31758,addressable,https://github.com/debrouwere/python-addressable,2015-03-11 09:52:34 UTC
41203,aasm,https://github.com/aasm/aasm,2019-09-04 09:46:11 UTC
54098,addressable,https://github.com/sporkmonger/addressable,2019-08-31 03:37:32 UTC
74226,rack,https://github.com/thomseddon/rack,2014-04-04 17:02:19 UTC
189606,coercible,https://github.com/solnic/coercible,2013-12-10 11:06:41 UTC
204018,fxruby,https://github.com/larskanis/fxruby,2018-12-28 21:32:32 UTC
221835,martile,https://github.com/jrobertson/martile,2019-09-16 21:38:54 UTC
237982,rack,https://github.com/rack/rack,2020-01-11 22:18:36 UTC
260509,addressable,,2011-05-22 16:02:51 UTC
304007,rack,https://github.com/dresende/node-rack,2012-06-21 16:54:57 UTC
337743,de.sciss:scalaaudiowidgets_2.10.0-M6,https://github.com/Sciss/ScalaAudioWidgets,2012-07-26 21:44:14 UTC
337767,de.sciss:lucredata-core_2.10.0-M7,https://github.com/Sciss/LucreData,2012-09-06 13:55:11 UTC
338068,org.jibx.schema.org.opentravel._2011A:org.jibx.schema.org.opentravel._2011A.profile,https://github.com/jibx/schema-library,2014-12-31 11:52:34 UTC
367676,org.testng:testng,https://github.com/cbeust/testng,2019-08-17 00:00:00 UTC
389395,addressable,https://github.com/RoleModel/addressable.git,2015-01-30 19:37:05 UTC
414298,com.lihaoyi:utest_2.11,https://github.com/lihaoyi/utest,2018-09-12 12:49:03 UTC
782308,addict,,2017-08-06 02:53:03 UTC
1197427,rack,https://github.com/rackspace/rack,2016-03-07 19:33:32 UTC
1293694,wsram,https://github.com/hassox/warden,2016-05-16 05:47:05 UTC
2341540,com.typesafe.akka:akka-persistence-cassandra_2.12,https://github.com/akka/akka-persistence-cassandra,2019-03-05 15:25:51 UTC
2367097,com.thoughtworks.tryt:tryt_2.12,https://github.com/ThoughtWorksInc/TryT.scala,2017-04-27 08:43:34 UTC
3063247,Adafruit-Blinka,https://github.com/adafruit/Adafruit_Blinka,2020-01-11 04:05:38 UTC
3121191,com.github.xuwei-k:msgpack4z-native_sjs0.6_2.13.0-M2,https://github.com/msgpack4z/msgpack4z-native,2018-02-02 05:14:41 UTC
3216072,rack,https://gitlab.com/rackaudio/rack,2018-08-16 14:09:32 UTC
3242793,microprobe-core,https://github.com/IBM/microprobe,2019-12-05 12:42:29 UTC
3483720,mtlibs,,2018-12-21 17:13:29 UTC
4074243,aasm,https://github.com/zven21/aasm,2019-06-12 00:04:36 UTC
ID,Project Name,Repository URL,Latest Release Publish Timestamp
3242791,microprobe-doc,https://github.com/IBM/microprobe,2019-12-05 12:42:34 UTC
3242792,microprobe-all,https://github.com/IBM/microprobe,2019-12-05 12:42:27 UTC
ID,Project Name,Repository URL,Latest Release Publish Timestamp
702627,Flask-OAuthlib,https://github.com/lepture/flask-oauthlib,2018-05-16 02:21:15 UTC
3242791,microprobe-doc,https://github.com/IBM/microprobe,2019-12-05 12:42:34 UTC
3242792,microprobe-all,https://github.com/IBM/microprobe,2019-12-05 12:42:27 UTC
